Uri Identifier,Label,Notation,Parent Uri Identifier,Sort Priority,Description
all-of-uk,All of UK,all-of-uk,,0,
belfast,Belfast,belfast,,1,
dover,Dover,dover,,2,
felixstowe,Felixstowe,felixstowe,,3,
forth,Forth,forth,,4,
grimsby-immingham,Grimsby & Immingham,grimsby-immingham,,5,
holyhead,Holyhead,holyhead,,6,
hull,Hull,hull,,7,
larne,Larne,larne,,8,
liverpool,Liverpool,liverpool,,9,
london,London,london,,10,
milford-haven,Milford Haven,milford-haven,,11,
portsmouth,Portsmouth,portsmouth,,12,
southampton,Southampton,southampton,,13,
tees-hartlepool,Tees & Hartlepool,tees-hartlepool,,14,
tyne,Tyne,tyne,,15,
warrenpoint,Warrenpoint,warrenpoint,,16,
