Uri Identifier,Label,Notation,Parent Uri Identifier,Sort Priority,Description,Original Concept URI
2021-10,2021-10,2021-10,,0,,http://reference.data.gov.uk/id/week/2021-10
2021-11,2021-11,2021-11,,1,,http://reference.data.gov.uk/id/week/2021-11
2021-12,2021-12,2021-12,,2,,http://reference.data.gov.uk/id/week/2021-12
2021-13,2021-13,2021-13,,3,,http://reference.data.gov.uk/id/week/2021-13
2021-14,2021-14,2021-14,,4,,http://reference.data.gov.uk/id/week/2021-14
2021-15,2021-15,2021-15,,5,,http://reference.data.gov.uk/id/week/2021-15
2021-16,2021-16,2021-16,,6,,http://reference.data.gov.uk/id/week/2021-16
2021-17,2021-17,2021-17,,7,,http://reference.data.gov.uk/id/week/2021-17
2021-18,2021-18,2021-18,,8,,http://reference.data.gov.uk/id/week/2021-18
2021-19,2021-19,2021-19,,9,,http://reference.data.gov.uk/id/week/2021-19
2021-20,2021-20,2021-20,,10,,http://reference.data.gov.uk/id/week/2021-20
2021-21,2021-21,2021-21,,11,,http://reference.data.gov.uk/id/week/2021-21
2021-22,2021-22,2021-22,,12,,http://reference.data.gov.uk/id/week/2021-22
2021-23,2021-23,2021-23,,13,,http://reference.data.gov.uk/id/week/2021-23
2021-24,2021-24,2021-24,,14,,http://reference.data.gov.uk/id/week/2021-24
2021-25,2021-25,2021-25,,15,,http://reference.data.gov.uk/id/week/2021-25
2021-26,2021-26,2021-26,,16,,http://reference.data.gov.uk/id/week/2021-26
2021-27,2021-27,2021-27,,17,,http://reference.data.gov.uk/id/week/2021-27
2021-28,2021-28,2021-28,,18,,http://reference.data.gov.uk/id/week/2021-28
2021-29,2021-29,2021-29,,19,,http://reference.data.gov.uk/id/week/2021-29
2021-30,2021-30,2021-30,,20,,http://reference.data.gov.uk/id/week/2021-30
2021-31,2021-31,2021-31,,21,,http://reference.data.gov.uk/id/week/2021-31
2021-32,2021-32,2021-32,,22,,http://reference.data.gov.uk/id/week/2021-32
2021-33,2021-33,2021-33,,23,,http://reference.data.gov.uk/id/week/2021-33
2021-34,2021-34,2021-34,,24,,http://reference.data.gov.uk/id/week/2021-34
2021-35,2021-35,2021-35,,25,,http://reference.data.gov.uk/id/week/2021-35
2021-36,2021-36,2021-36,,26,,http://reference.data.gov.uk/id/week/2021-36
2021-37,2021-37,2021-37,,27,,http://reference.data.gov.uk/id/week/2021-37
2021-38,2021-38,2021-38,,28,,http://reference.data.gov.uk/id/week/2021-38
2021-39,2021-39,2021-39,,29,,http://reference.data.gov.uk/id/week/2021-39
2021-40,2021-40,2021-40,,30,,http://reference.data.gov.uk/id/week/2021-40
2021-41,2021-41,2021-41,,31,,http://reference.data.gov.uk/id/week/2021-41
2021-42,2021-42,2021-42,,32,,http://reference.data.gov.uk/id/week/2021-42
2021-43,2021-43,2021-43,,33,,http://reference.data.gov.uk/id/week/2021-43
2021-44,2021-44,2021-44,,34,,http://reference.data.gov.uk/id/week/2021-44
