Uri Identifier,Label,Notation,Parent Uri Identifier,Sort Priority,Description
yorkshire,Yorkshire,Yorkshire,,0,Pret A Manger stores in Yorkshire
london-suburban,London: Suburban,London: Suburban,,1,"Pret A Manger stores outside of Zones 1 and 2, but within Central London; predominantly in residential areas of London"
manchester,Manchester,Manchester,,2,Pret A Manger stores in Manchester
london-west-end,London: West End,London: West End,,3,Pret A Manger stores in popular retail areas within Central London
london-stations,London: Stations,London: Stations,,4,Pret A Manger stores in three large train stations in London
regional-towns,Regional Towns,Regional Towns,,5,Pret A Manger stores in towns not listed elsewhere
scotland,Scotland,Scotland,,6,Pret A Manger stores in Scotland
london-airports,London: Airports,London: Airports,,7,Pret A Manger stores in four major airports in London
london-city-worker,London: City Worker,London: City Worker,,8,Pret A Manger stores in the Square Mile and Canary Wharf
regional-stations,Regional Stations,Regional Stations,,9,Pret A Manger stores in stations in towns not listed elsewhere
