Uri Identifier,Label,Notation,Parent Uri Identifier,Sort Priority,Description,Original Concept URI
01/04/2021,01/04/2021,01/04/2021,,0,,http://reference.data.gov.uk/id/day/01/04/2021
01/07/2021,01/07/2021,01/07/2021,,1,,http://reference.data.gov.uk/id/day/01/07/2021
01/09/2022,01/09/2022,01/09/2022,,2,,http://reference.data.gov.uk/id/day/01/09/2022
01/12/2022,01/12/2022,01/12/2022,,3,,http://reference.data.gov.uk/id/day/01/12/2022
02/06/2022,02/06/2022,02/06/2022,,4,,http://reference.data.gov.uk/id/day/02/06/2022
02/09/2021,02/09/2021,02/09/2021,,5,,http://reference.data.gov.uk/id/day/02/09/2021
02/12/2021,02/12/2021,02/12/2021,,6,,http://reference.data.gov.uk/id/day/02/12/2021
03/02/2022,03/02/2022,03/02/2022,,7,,http://reference.data.gov.uk/id/day/03/02/2022
03/03/2022,03/03/2022,03/03/2022,,8,,http://reference.data.gov.uk/id/day/03/03/2022
03/06/2021,03/06/2021,03/06/2021,,9,,http://reference.data.gov.uk/id/day/03/06/2021
03/11/2022,03/11/2022,03/11/2022,,10,,http://reference.data.gov.uk/id/day/03/11/2022
04/03/2021,04/03/2021,04/03/2021,,11,,http://reference.data.gov.uk/id/day/04/03/2021
04/08/2022,04/08/2022,04/08/2022,,12,,http://reference.data.gov.uk/id/day/04/08/2022
04/11/2021,04/11/2021,04/11/2021,,13,,http://reference.data.gov.uk/id/day/04/11/2021
05/01/2023,05/01/2023,05/01/2023,,14,,http://reference.data.gov.uk/id/day/05/01/2023
05/05/2022,05/05/2022,05/05/2022,,15,,http://reference.data.gov.uk/id/day/05/05/2022
05/08/2021,05/08/2021,05/08/2021,,16,,http://reference.data.gov.uk/id/day/05/08/2021
06/01/2022,06/01/2022,06/01/2022,,17,,http://reference.data.gov.uk/id/day/06/01/2022
06/05/2021,06/05/2021,06/05/2021,,18,,http://reference.data.gov.uk/id/day/06/05/2021
06/10/2022,06/10/2022,06/10/2022,,19,,http://reference.data.gov.uk/id/day/06/10/2022
07/04/2022,07/04/2022,07/04/2022,,20,,http://reference.data.gov.uk/id/day/07/04/2022
07/07/2022,07/07/2022,07/07/2022,,21,,http://reference.data.gov.uk/id/day/07/07/2022
07/10/2021,07/10/2021,07/10/2021,,22,,http://reference.data.gov.uk/id/day/07/10/2021
08/04/2021,08/04/2021,08/04/2021,,23,,http://reference.data.gov.uk/id/day/08/04/2021
08/07/2021,08/07/2021,08/07/2021,,24,,http://reference.data.gov.uk/id/day/08/07/2021
08/09/2022,08/09/2022,08/09/2022,,25,,http://reference.data.gov.uk/id/day/08/09/2022
08/12/2022,08/12/2022,08/12/2022,,26,,http://reference.data.gov.uk/id/day/08/12/2022
09/06/2022,09/06/2022,09/06/2022,,27,,http://reference.data.gov.uk/id/day/09/06/2022
09/09/2021,09/09/2021,09/09/2021,,28,,http://reference.data.gov.uk/id/day/09/09/2021
09/12/2021,09/12/2021,09/12/2021,,29,,http://reference.data.gov.uk/id/day/09/12/2021
10/02/2022,10/02/2022,10/02/2022,,30,,http://reference.data.gov.uk/id/day/10/02/2022
10/03/2022,10/03/2022,10/03/2022,,31,,http://reference.data.gov.uk/id/day/10/03/2022
10/06/2021,10/06/2021,10/06/2021,,32,,http://reference.data.gov.uk/id/day/10/06/2021
10/11/2022,10/11/2022,10/11/2022,,33,,http://reference.data.gov.uk/id/day/10/11/2022
11/03/2021,11/03/2021,11/03/2021,,34,,http://reference.data.gov.uk/id/day/11/03/2021
11/08/2022,11/08/2022,11/08/2022,,35,,http://reference.data.gov.uk/id/day/11/08/2022
11/11/2021,11/11/2021,11/11/2021,,36,,http://reference.data.gov.uk/id/day/11/11/2021
12/05/2022,12/05/2022,12/05/2022,,37,,http://reference.data.gov.uk/id/day/12/05/2022
12/08/2021,12/08/2021,12/08/2021,,38,,http://reference.data.gov.uk/id/day/12/08/2021
13/01/2022,13/01/2022,13/01/2022,,39,,http://reference.data.gov.uk/id/day/13/01/2022
13/05/2021,13/05/2021,13/05/2021,,40,,http://reference.data.gov.uk/id/day/13/05/2021
