Week,Location,Value
2021-25,regional-stations,51.63527818
2021-26,yorkshire,116.7665121
2021-26,london-suburban,106.6148025
2021-26,manchester,71.3161852
2021-26,london-west-end,77.51142462
2021-26,london-stations,72.00558321
2021-26,regional-towns,96.23410426
2021-26,scotland,60.3584344
2021-26,london-airports,38.46062051
2021-26,london-city-worker,52.58875853
2021-26,regional-stations,53.74375609
2021-27,yorkshire,101.8774282
2021-27,london-suburban,106.4691114
2021-27,manchester,70.03719826
2021-27,london-west-end,75.28262934
2021-27,london-stations,71.92561905
2021-27,regional-towns,97.91031457
2021-27,scotland,58.1926435
2021-27,london-airports,41.42503844
2021-27,london-city-worker,51.88204937
2021-27,regional-stations,52.81892454
2021-28,yorkshire,86.44692317
2021-28,london-suburban,106.2159199
2021-28,manchester,70.92679066
2021-28,london-west-end,75.64930462
2021-28,london-stations,71.25734715
2021-28,regional-towns,97.74522198
2021-28,scotland,61.72903638
2021-28,london-airports,45.62668799
2021-28,london-city-worker,50.96943483
2021-28,regional-stations,53.97151312
2021-29,yorkshire,112.866274
2021-29,london-suburban,102.092719
2021-29,manchester,77.27107242
2021-29,london-west-end,72.86428159
2021-29,london-stations,68.68707062
2021-29,regional-towns,85.99985127
2021-29,scotland,65.15753931
2021-29,london-airports,52.34559637
2021-29,london-city-worker,51.95708269
2021-29,regional-stations,49.50609509
2021-30,yorkshire,118.1000125
2021-30,london-suburban,101.5523887
2021-30,manchester,75.20063316
2021-30,london-west-end,77.40499556
2021-30,london-stations,72.43396263
2021-30,regional-towns,86.75987209
2021-30,scotland,68.04259655
2021-30,london-airports,61.83963448
2021-30,london-city-worker,54.80136892
2021-30,regional-stations,43.04952853
2021-31,yorkshire,124.8176463
2021-31,london-suburban,103.2101559
2021-31,manchester,77.68579343
2021-31,london-west-end,78.44986473
2021-31,london-stations,75.60754019
2021-31,regional-towns,89.62891351
2021-31,scotland,71.75880602
2021-31,london-airports,66.9147531
2021-31,london-city-worker,54.88948945
2021-31,regional-stations,55.18966811
2021-32,yorkshire,126.7828049
2021-32,london-suburban,101.5891651
2021-32,manchester,76.71072418
2021-32,london-west-end,75.13735757
2021-32,london-stations,78.0764336
2021-32,regional-towns,96.30995761
2021-32,scotland,71.66689976
2021-32,london-airports,68.56622413
2021-32,london-city-worker,51.04708559
2021-32,regional-stations,59.04773408
2021-33,yorkshire,123.1933826
2021-33,london-suburban,103.2327876
2021-33,manchester,78.09734863
2021-33,london-west-end,73.76698641
2021-33,london-stations,78.24992726
2021-33,regional-towns,96.57916264
2021-33,scotland,77.58486344
2021-33,london-airports,70.54689204
2021-33,london-city-worker,53.58164127
2021-33,regional-stations,64.98667104
2021-34,yorkshire,124.7073568
2021-34,london-suburban,109.4508292
2021-34,manchester,81.82034032
2021-34,london-west-end,77.77089398
2021-34,london-stations,80.39325231
2021-34,regional-towns,100.2305347
2021-34,scotland,77.43301832
2021-34,london-airports,70.51068038
2021-34,london-city-worker,57.02532156
2021-34,regional-stations,61.80152356
2021-35,yorkshire,127.0033839
2021-35,london-suburban,107.9755295
2021-35,manchester,75.40957657
2021-35,london-west-end,78.66116913
2021-35,london-stations,79.5607683
2021-35,regional-towns,101.5051684
2021-35,scotland,78.60782002
2021-35,london-airports,71.25850597
2021-35,london-city-worker,52.0548005
2021-35,regional-stations,67.57826991
2021-36,yorkshire,128.6477002
2021-36,london-suburban,122.1641501
2021-36,manchester,91.67867036
2021-36,london-west-end,91.73640553
2021-36,london-stations,81.00297902
2021-36,regional-towns,108.2471927
2021-36,scotland,77.83261074
2021-36,london-airports,71.74955798
2021-36,london-city-worker,70.58890249
2021-36,regional-stations,67.00887735
2021-37,yorkshire,134.0218072
2021-37,london-suburban,121.8388203
2021-37,manchester,100.3371587
2021-37,london-west-end,94.6519401
2021-37,london-stations,86.4119832
2021-37,regional-towns,109.4846434
2021-37,scotland,85.76052427
2021-37,london-airports,72.71575084
2021-37,london-city-worker,71.69608016
2021-37,regional-stations,74.48689966
2021-38,yorkshire,142.2935205
2021-38,london-suburban,125.1911312
2021-38,manchester,109.0937871
2021-38,london-west-end,97.82772088
2021-38,london-stations,85.30819222
2021-38,regional-towns,112.6288391
2021-38,scotland,89.17703942
2021-38,london-airports,74.55102346
2021-38,london-city-worker,77.21451895
2021-38,regional-stations,78.91780905
2021-39,yorkshire,141.1705728
2021-39,london-suburban,126.6183387
2021-39,manchester,105.8203403
2021-39,london-west-end,99.65332872
2021-39,london-stations,92.13870212
2021-39,regional-towns,110.3591879
2021-39,scotland,88.89732473
2021-39,london-airports,72.52097601
2021-39,london-city-worker,79.75343703
2021-39,regional-stations,82.18577726
2021-40,yorkshire,142.0428625
2021-40,london-suburban,127.9012695
2021-40,manchester,112.8611001
2021-40,london-west-end,101.7337448
2021-40,london-stations,89.61697525
2021-40,regional-towns,112.4801071
2021-40,scotland,93.29683723
2021-40,london-airports,74.70684332
2021-40,london-city-worker,82.28799271
2021-40,regional-stations,88.17992805
2021-41,yorkshire,149.7230229
2021-41,london-suburban,132.826479
2021-41,manchester,113.0763751
2021-41,london-west-end,106.9969334
2021-41,london-stations,91.54468265
2021-41,regional-towns,118.0114524
2021-41,scotland,89.884318
2021-41,london-airports,75.86067839
2021-41,london-city-worker,83.85758502
2021-41,regional-stations,89.80183413
2021-42,yorkshire,148.5900489
2021-42,london-suburban,130.6368683
2021-42,manchester,107.2576177
2021-42,london-west-end,104.2041418
2021-42,london-stations,93.286045
2021-42,regional-towns,115.5038299
2021-42,scotland,94.51559409
2021-42,london-airports,83.36307536
2021-42,london-city-worker,83.59758585
2021-42,regional-stations,89.19793293
2021-43,yorkshire,159.4184735
2021-43,london-suburban,128.1884084
2021-43,manchester,112.7661258
2021-43,london-west-end,105.7524126
2021-43,london-stations,93.41241693
2021-43,regional-towns,112.7329516
2021-43,scotland,96.85320973
2021-43,london-airports,81.56017376
2021-43,london-city-worker,80.40168999
2021-43,regional-stations,90.00198425
2021-44,yorkshire,151.106655
2021-44,london-suburban,129.3836416
2021-44,manchester,110.2398101
2021-44,london-west-end,104.8194105
2021-44,london-stations,95.13593015
2021-44,regional-towns,115.0353239
2021-44,scotland,92.7134323
2021-44,london-airports,77.08199883
2021-44,london-city-worker,85.91751134
2021-44,regional-stations,93.07325322
2021-45,yorkshire,159.8195263
2021-45,london-suburban,133.5025991
2021-45,manchester,116.0743965
2021-45,london-west-end,107.9089604
2021-45,london-stations,96.56600345
2021-45,regional-towns,120.8239756
2021-45,scotland,91.73043496
2021-45,london-airports,77.99222821
2021-45,london-city-worker,88.00971943
2021-45,regional-stations,91.95862414
2021-46,yorkshire,160.721895
2021-46,london-suburban,135.431946
2021-46,manchester,118.5500594
2021-46,london-west-end,112.8482007
2021-46,london-stations,97.4434673
2021-46,regional-towns,119.0064698
2021-46,scotland,97.0809774
2021-46,london-airports,78.44706857
2021-46,london-city-worker,86.99502468
2021-46,regional-stations,93.20783691
2021-47,yorkshire,167.9709237
2021-47,london-suburban,137.3994837
2021-47,manchester,122.4914919
2021-47,london-west-end,115.9431886
2021-47,london-stations,98.57153312
2021-47,regional-towns,120.4595821
2021-47,scotland,102.9190226
2021-47,london-airports,77.7360033
2021-47,london-city-worker,87.81777374
2021-47,regional-stations,92.26230017
2021-48,yorkshire,147.1763379
2021-48,london-suburban,134.717635
2021-48,manchester,114.7036011
2021-48,london-west-end,109.9303356
2021-48,london-stations,95.67640218
2021-48,regional-towns,123.9592474
2021-48,scotland,102.2956584
2021-48,london-airports,75.68565538
2021-48,london-city-worker,84.55644185
2021-48,regional-stations,92.44519597
2021-49,yorkshire,151.6681288
2021-49,london-suburban,129.5703526
2021-49,manchester,105.1365255
2021-49,london-west-end,106.5409198
2021-49,london-stations,95.87916844
2021-49,regional-towns,120.580055
2021-49,scotland,96.48158878
2021-49,london-airports,70.88541617
2021-49,london-city-worker,80.4994078
2021-49,regional-stations,88.41803767
2021-50,yorkshire,147.557338
2021-50,london-suburban,127.8390325
2021-50,manchester,86.59438069
2021-50,london-west-end,93.23029654
2021-50,london-stations,85.02046404
2021-50,regional-towns,122.9672046
2021-50,scotland,83.31501868
2021-50,london-airports,84.1087063
2021-50,london-city-worker,51.91694859
2021-50,regional-stations,76.45044128
2021-51,yorkshire,143.4866525
2021-51,london-suburban,110.7945826
2021-51,manchester,55.11990503
2021-51,london-west-end,71.00837643
2021-51,london-stations,71.87135766
2021-51,regional-towns,121.8145311
2021-51,scotland,67.03562366
2021-51,london-airports,98.18242171
2021-51,london-city-worker,36.487132
2021-51,regional-stations,63.10940102
2021-52,yorkshire,87.75034465
2021-52,london-suburban,59.29912656
2021-52,manchester,13.67313019
2021-52,london-west-end,48.5534
2021-52,london-stations,35.34130238
2021-52,regional-towns,67.70432067
2021-52,scotland,32.90243951
2021-52,london-airports,65.75872337
2021-52,london-city-worker,12.58553035
2021-52,regional-stations,37.30038908
2022-1,yorkshire,98.65897982
2022-1,london-suburban,87.83761802
2022-1,manchester,33.33597151
2022-1,london-west-end,60.69097315
2022-1,london-stations,51.2063343
2022-1,regional-towns,78.99159664
2022-1,scotland,37.19406206
2022-1,london-airports,55.97828398
2022-1,london-city-worker,29.32406759
2022-1,regional-stations,47.64953025
2022-2,yorkshire,110.9612733
2022-2,london-suburban,115.4128505
2022-2,manchester,75.53304313
2022-2,london-west-end,78.54697153
2022-2,london-stations,71.12169367
2022-2,regional-towns,98.06648323
2022-2,scotland,65.65702983
2022-2,london-airports,53.73480722
2022-2,london-city-worker,51.48419829
2022-2,regional-stations,55.28284144
2022-3,yorkshire,120.4461712
2022-3,london-suburban,121.6139185
2022-3,manchester,85.52433716
2022-3,london-west-end,88.40758443
2022-3,london-stations,78.83823501
2022-3,regional-towns,106.6631963
2022-3,scotland,75.36312961
2022-3,london-airports,54.29883121
2022-3,london-city-worker,57.68578926
2022-3,regional-stations,63.16116398
2022-4,yorkshire,126.0809625
2022-4,london-suburban,121.5927013
2022-4,manchester,95.92402058
2022-4,london-west-end,93.22718913
2022-4,london-stations,84.53710926
2022-4,regional-towns,109.8192905
2022-4,scotland,80.38600627
2022-4,london-airports,58.06594088
2022-4,london-city-worker,67.68267014
2022-4,regional-stations,69.87654534
2022-5,yorkshire,126.0909888
2022-5,london-suburban,126.4867923
2022-5,manchester,100.0364068
2022-5,london-west-end,98.62555035
2022-5,london-stations,88.45749494
2022-5,regional-towns,114.4195731
2022-5,scotland,84.23008531
2022-5,london-airports,62.93256813
2022-5,london-city-worker,77.5914305
2022-5,regional-stations,75.60152873
2022-6,yorkshire,124.9981201
2022-6,london-suburban,128.0582765
2022-6,manchester,109.277404
2022-6,london-west-end,100.43096
2022-6,london-stations,92.64775966
2022-6,regional-towns,113.4007585
2022-6,scotland,88.01822141
2022-6,london-airports,69.65367116
2022-6,london-city-worker,81.82034319
2022-6,regional-stations,81.59222865
2022-7,yorkshire,126.191252
2022-7,london-suburban,117.4539411
2022-7,manchester,108.6664028
2022-7,london-west-end,96.93433832
2022-7,london-stations,92.39287391
2022-7,regional-towns,109.6512233
2022-7,scotland,82.56378494
2022-7,london-airports,82.36341416
2022-7,london-city-worker,77.42740417
2022-7,regional-stations,82.91390957
2022-8,yorkshire,118.019802
2022-8,london-suburban,116.190813
2022-8,manchester,100.647408
2022-8,london-west-end,95.10173879
2022-8,london-stations,85.31461791
2022-8,regional-towns,100.5027144
2022-8,scotland,85.82845498
2022-8,london-airports,84.08785716
2022-8,london-city-worker,78.60438029
2022-8,regional-stations,75.92936081
2022-9,yorkshire,135.2951498
2022-9,london-suburban,129.2549241
2022-9,manchester,118.4709141
2022-9,london-west-end,97.97376951
2022-9,london-stations,95.25516242
2022-9,regional-towns,109.9695099
2022-9,scotland,98.26776688
2022-9,london-airports,85.4386617
2022-9,london-city-worker,76.50519235
2022-9,regional-stations,86.37512617
2022-10,yorkshire,139.0048878
2022-10,london-suburban,129.5901552
2022-10,manchester,123.3557578
2022-10,london-west-end,106.2977644
2022-10,london-stations,97.98965107
2022-10,regional-towns,106.0444709
2022-10,scotland,104.1497672
2022-10,london-airports,89.16681641
2022-10,london-city-worker,88.07515547
2022-10,regional-stations,89.14962084
2022-11,yorkshire,142.153152
2022-11,london-suburban,127.5405778
2022-11,manchester,120.9529086
2022-11,london-west-end,104.6920064
2022-11,london-stations,98.89495958
2022-11,regional-towns,103.1992266
2022-11,scotland,99.07094763
2022-11,london-airports,92.71171817
2022-11,london-city-worker,85.82153849
2022-11,regional-stations,89.17722775
2022-12,yorkshire,150.1742073
2022-12,london-suburban,133.075427
2022-12,manchester,127.6390977
2022-12,london-west-end,106.4453667
2022-12,london-stations,97.13289222
2022-12,regional-towns,108.369153
2022-12,scotland,102.7871571
2022-12,london-airports,95.80177958
2022-12,london-city-worker,86.61724065
2022-12,regional-stations,86.88930491
2022-13,yorkshire,130.2619376
2022-13,london-suburban,124.2604052
2022-13,manchester,122.6687772
2022-13,london-west-end,103.1033391
2022-13,london-stations,98.29737029
2022-13,regional-towns,105.2234699
2022-13,scotland,100.3336597
2022-13,london-airports,104.8859676
2022-13,london-city-worker,86.10945703
2022-13,regional-stations,87.75892264
2022-14,yorkshire,124.587041
2022-14,london-suburban,116.6420312
2022-14,manchester,100.7202216
2022-14,london-west-end,96.84422321
2022-14,london-stations,96.22044405
2022-14,regional-towns,99.59842344
2022-14,scotland,93.3248087
2022-14,london-airports,119.6136875
2022-14,london-city-worker,81.33262662
2022-14,regional-stations,86.88585405
2022-15,yorkshire,127.0835944
2022-15,london-suburban,116.2219315
2022-15,manchester,93.35021765
2022-15,london-west-end,97.70109362
2022-15,london-stations,93.0925603
2022-15,regional-towns,101.4620361
2022-15,scotland,92.13002737
2022-15,london-airports,122.6933243
2022-15,london-city-worker,72.87741868
2022-15,regional-stations,80.41893489
2022-16,yorkshire,120.8973556
2022-16,london-suburban,102.8565367
2022-16,manchester,77.18242976
2022-16,london-west-end,86.32173037
2022-16,london-stations,84.52211598
2022-16,regional-towns,85.00185915
2022-16,scotland,88.3458872
2022-16,london-airports,112.4262222
2022-16,london-city-worker,60.49168635
2022-16,regional-stations,66.51195293
2022-17,yorkshire,121.6092242
2022-17,london-suburban,121.9632943
2022-17,manchester,111.3098536
2022-17,london-west-end,101.4035817
2022-17,london-stations,100.4542607
2022-17,regional-towns,100.7912546
2022-17,scotland,100.7332521
2022-17,london-airports,113.36169
2022-17,london-city-worker,88.47475151
2022-17,regional-stations,85.71946201
2022-18,yorkshire,124.9279358
2022-18,london-suburban,114.4495916
2022-18,manchester,96.73130194
2022-18,london-west-end,95.65330542
2022-18,london-stations,96.78090713
2022-18,regional-towns,96.90191121
2022-18,scotland,93.38075163
2022-18,london-airports,116.9230516
2022-18,london-city-worker,74.68781559
2022-18,regional-stations,81.27820003
2022-19,yorkshire,126.1411204
2022-19,london-suburban,123.8954701
2022-19,manchester,117.5908192
2022-19,london-west-end,102.0491477
2022-19,london-stations,98.85212164
2022-19,regional-towns,102.097122
2022-19,scotland,99.43857266
2022-19,london-airports,116.9976696
2022-19,london-city-worker,88.53233522
2022-19,regional-stations,88.61128605
2022-20,yorkshire,128.5273844
2022-20,london-suburban,122.4173415
2022-20,manchester,117.2235853
2022-20,london-west-end,101.364739
2022-20,london-stations,96.78804679
2022-20,regional-towns,102.0093701
2022-20,scotland,95.66642025
2022-20,london-airports,125.1546197
2022-20,london-city-worker,87.12851419
2022-20,regional-stations,87.06184811
2022-21,yorkshire,125.1084096
2022-21,london-suburban,122.3395452
2022-21,manchester,112.1899486
2022-21,london-west-end,101.5667211
2022-21,london-stations,103.4207882
2022-21,regional-towns,101.0412467
2022-21,scotland,94.00011988
2022-21,london-airports,133.2375005
2022-21,london-city-worker,87.92857875
2022-21,regional-stations,91.67910416
2022-22,yorkshire,129.3294899
2022-22,london-suburban,112.1779412
2022-22,manchester,81.30431342
2022-22,london-west-end,94.36994195
2022-22,london-stations,100.1736722
2022-22,regional-towns,98.19379578
2022-22,scotland,90.24395117
2022-22,london-airports,139.9048347
2022-22,london-city-worker,63.49825395
2022-22,regional-stations,83.14856832
2022-23,yorkshire,119.7042236
2022-23,london-suburban,108.9331306
2022-23,manchester,86.28096557
2022-23,london-west-end,90.09102791
2022-23,london-stations,96.09906988
2022-23,regional-towns,91.71820461
2022-23,scotland,85.6006873
2022-23,london-airports,132.5582576
2022-23,london-city-worker,73.68708053
2022-23,regional-stations,81.82343654
