Uri Identifier,Label,Notation,Parent Uri Identifier,Sort Priority,Description
all,All industries,All,,0,All industries
manufacturing,Manufacturing,Manufacturing,all,0,Manufacturing
energy-/-oil-gas,Energy / oil & gas,Energy / oil & gas,all,1,Energy / oil & gas
construction-/-trades,Construction / trades,Construction / trades,all,2,Construction / trades
wholesale-and-retail,Wholesale and retail,Wholesale and retail,all,3,Wholesale and retail
graduate,Graduate,Graduate,all,4,Graduate
transport-/-logistics-/-warehouse,Transport / logistics / warehouse,Transport / logistics / warehouse,all,5,Transport / logistics / warehouse
travel-/-tourism,Travel / tourism,Travel / tourism,all,6,Travel / tourism
catering-and-hospitality,Catering and hospitality,Catering and hospitality,all,7,Catering and hospitality
it-/-computing-/-software,IT / Computing / Software,IT / Computing / Software,all,8,IT / Computing / Software
accounting-/-finance,Accounting / Finance,Accounting / Finance,all,9,Accounting / Finance
property,Property,Property,all,10,Property
engineering,Engineering,Engineering,all,11,Engineering
legal,Legal,Legal,all,12,Legal
management-/-exec-/-consulting,Management / exec / consulting,Management / exec / consulting,all,13,Management / exec / consulting
marketing-/-advertising-/-pr,Marketing / advertising / PR,Marketing / advertising / PR,all,14,Marketing / advertising / PR
scientific-/-qa,Scientific / QA,Scientific / QA,all,15,Scientific / QA
admin-/-clerical-/-secretarial,Admin / clerical / secretarial,Admin / clerical / secretarial,all,16,Admin / clerical / secretarial
customer-service-/-support,Customer service / support,Customer service / support,all,17,Customer service / support
facilities-/-maintenance,Facilities / maintenance,Facilities / maintenance,all,18,Facilities / maintenance
hr-recruitment,HR & recruitment,HR & recruitment,all,19,HR & recruitment
education,Education,Education,all,20,Education
part-time-/-weekend,Part-time / weekend,Part-time / weekend,all,21,Part-time / weekend
charity-/-voluntary,Charity / voluntary,Charity / voluntary,all,22,Charity / voluntary
healthcare-and-social-care,Healthcare and Social care,Healthcare and Social care,all,23,Healthcare and Social care
creative-/-design-/-arts-media,Creative / design / arts & media,Creative / design / arts & media,all,24,Creative / design / arts & media
other-/-general,Other / general,Other / general,all,25,Other / general
sales,Sales,Sales,all,26,Sales
domestic-help,Domestic help,Domestic help,all,27,Domestic help
unknown,Unknown,Unknown,all,28,The 'unknown' category relates to locations or categories which have not been able to match
