Date,Industry,Value,Method,Region,Measure,Marker
2018-02-07,accounting-/-finance,118.79499731150884,no-deduplication-method-applied,K02000001,index-100-average-february-2020,
2018-02-15,accounting-/-finance,124.94011996955372,no-deduplication-method-applied,K02000001,index-100-average-february-2020,
2018-02-22,accounting-/-finance,122.7963101331676,no-deduplication-method-applied,K02000001,index-100-average-february-2020,
2018-03-01,accounting-/-finance,117.13302095626489,no-deduplication-method-applied,K02000001,index-100-average-february-2020,
2018-03-08,accounting-/-finance,115.10094062275232,no-deduplication-method-applied,K02000001,index-100-average-february-2020,
2018-03-15,accounting-/-finance,115.25596530798936,no-deduplication-method-applied,K02000001,index-100-average-february-2020,
2018-03-22,accounting-/-finance,113.05978226713128,no-deduplication-method-applied,K02000001,index-100-average-february-2020,value-imputed-with-linear-interpolation
2018-03-29,accounting-/-finance,110.8635992262732,no-deduplication-method-applied,K02000001,index-100-average-february-2020,
2018-04-05,accounting-/-finance,110.24559541350392,no-deduplication-method-applied,K02000001,index-100-average-february-2020,value-imputed-with-linear-interpolation
2018-04-12,accounting-/-finance,109.62759160073465,no-deduplication-method-applied,K02000001,index-100-average-february-2020,
2018-04-23,accounting-/-finance,111.65129222153168,no-deduplication-method-applied,K02000001,index-100-average-february-2020,
2018-04-26,accounting-/-finance,111.55632214408917,no-deduplication-method-applied,K02000001,index-100-average-february-2020,
2018-05-03,accounting-/-finance,113.90264170443356,no-deduplication-method-applied,K02000001,index-100-average-february-2020,
2018-05-10,accounting-/-finance,108.67509758873766,no-deduplication-method-applied,K02000001,index-100-average-february-2020,
2018-05-17,accounting-/-finance,120.38155625231316,no-deduplication-method-applied,K02000001,index-100-average-february-2020,
2018-05-25,accounting-/-finance,120.61479158956168,no-deduplication-method-applied,K02000001,index-100-average-february-2020,
2018-05-31,accounting-/-finance,113.58141938367211,no-deduplication-method-applied,K02000001,index-100-average-february-2020,
2018-06-08,accounting-/-finance,118.87600120109217,no-deduplication-method-applied,K02000001,index-100-average-february-2020,
2018-06-15,accounting-/-finance,118.50450060403764,no-deduplication-method-applied,K02000001,index-100-average-february-2020,
2018-06-22,accounting-/-finance,117.67071918884382,no-deduplication-method-applied,K02000001,index-100-average-february-2020,
2018-06-29,accounting-/-finance,120.20697890407324,no-deduplication-method-applied,K02000001,index-100-average-february-2020,
2018-07-06,accounting-/-finance,114.8313931970699,no-deduplication-method-applied,K02000001,index-100-average-february-2020,
2018-07-12,accounting-/-finance,116.68191308841295,no-deduplication-method-applied,K02000001,index-100-average-february-2020,
2018-07-19,accounting-/-finance,113.7029252180471,no-deduplication-method-applied,K02000001,index-100-average-february-2020,
2018-07-26,accounting-/-finance,115.57998086632264,no-deduplication-method-applied,K02000001,index-100-average-february-2020,
2018-08-02,accounting-/-finance,109.43206497070592,no-deduplication-method-applied,K02000001,index-100-average-february-2020,
2018-08-09,accounting-/-finance,112.30351319455598,no-deduplication-method-applied,K02000001,index-100-average-february-2020,
2018-08-16,accounting-/-finance,113.04232453230728,no-deduplication-method-applied,K02000001,index-100-average-february-2020,
2018-08-23,accounting-/-finance,109.5968659874444,no-deduplication-method-applied,K02000001,index-100-average-february-2020,
2018-08-30,accounting-/-finance,108.8664343624086,no-deduplication-method-applied,K02000001,index-100-average-february-2020,
2018-09-06,accounting-/-finance,109.42927173313409,no-deduplication-method-applied,K02000001,index-100-average-february-2020,
2018-09-13,accounting-/-finance,107.99913409635272,no-deduplication-method-applied,K02000001,index-100-average-february-2020,value-imputed-with-linear-interpolation
2018-09-20,accounting-/-finance,106.56899645957138,no-deduplication-method-applied,K02000001,index-100-average-february-2020,
2018-09-27,accounting-/-finance,109.5032925287878,no-deduplication-method-applied,K02000001,index-100-average-february-2020,value-imputed-with-linear-interpolation
2018-10-05,accounting-/-finance,112.43758859800424,no-deduplication-method-applied,K02000001,index-100-average-february-2020,
2018-10-11,accounting-/-finance,113.2099187866176,no-deduplication-method-applied,K02000001,index-100-average-february-2020,
2018-10-19,accounting-/-finance,110.57729237515974,no-deduplication-method-applied,K02000001,index-100-average-february-2020,
2018-10-25,accounting-/-finance,107.37344888026088,no-deduplication-method-applied,K02000001,index-100-average-february-2020,
2018-11-01,accounting-/-finance,103.79251831316382,no-deduplication-method-applied,K02000001,index-100-average-february-2020,
2018-11-09,accounting-/-finance,107.05781303464312,no-deduplication-method-applied,K02000001,index-100-average-february-2020,
2018-11-15,accounting-/-finance,109.3287151805479,no-deduplication-method-applied,K02000001,index-100-average-february-2020,
2018-11-23,accounting-/-finance,111.56051200044692,no-deduplication-method-applied,K02000001,index-100-average-february-2020,
2018-11-30,accounting-/-finance,108.68906377659688,no-deduplication-method-applied,K02000001,index-100-average-february-2020,
2018-12-07,accounting-/-finance,118.35506239394428,no-deduplication-method-applied,K02000001,index-100-average-february-2020,
2018-12-14,accounting-/-finance,108.90204814144954,no-deduplication-method-applied,K02000001,index-100-average-february-2020,value-imputed-with-linear-interpolation
2018-12-20,accounting-/-finance,99.44903388895484,no-deduplication-method-applied,K02000001,index-100-average-february-2020,
2018-12-27,accounting-/-finance,96.36739453782393,no-deduplication-method-applied,K02000001,index-100-average-february-2020,value-imputed-with-linear-interpolation
2019-01-04,accounting-/-finance,93.28575518669302,no-deduplication-method-applied,K02000001,index-100-average-february-2020,
2019-01-11,accounting-/-finance,97.26751534534893,no-deduplication-method-applied,K02000001,index-100-average-february-2020,
2019-01-18,accounting-/-finance,99.49093245253242,no-deduplication-method-applied,K02000001,index-100-average-february-2020,
2019-01-24,accounting-/-finance,103.44895009182768,no-deduplication-method-applied,K02000001,index-100-average-february-2020,
2019-02-01,accounting-/-finance,112.53255867544674,no-deduplication-method-applied,K02000001,index-100-average-february-2020,
2019-02-07,accounting-/-finance,109.70021577760242,no-deduplication-method-applied,K02000001,index-100-average-february-2020,
2019-02-15,accounting-/-finance,118.11624058155206,no-deduplication-method-applied,K02000001,index-100-average-february-2020,
2019-02-22,accounting-/-finance,113.9710760249436,no-deduplication-method-applied,K02000001,index-100-average-february-2020,value-imputed-with-linear-interpolation
2019-02-28,accounting-/-finance,109.82591146833516,no-deduplication-method-applied,K02000001,index-100-average-february-2020,
2019-03-07,accounting-/-finance,108.70861643959972,no-deduplication-method-applied,K02000001,index-100-average-february-2020,
2019-03-14,accounting-/-finance,105.24639846930582,no-deduplication-method-applied,K02000001,index-100-average-february-2020,
2019-03-21,accounting-/-finance,107.2714957088888,no-deduplication-method-applied,K02000001,index-100-average-february-2020,
2019-03-28,accounting-/-finance,108.72677248381667,no-deduplication-method-applied,K02000001,index-100-average-february-2020,
2019-04-04,accounting-/-finance,98.50352297088747,no-deduplication-method-applied,K02000001,index-100-average-february-2020,
2019-04-11,accounting-/-finance,101.7408853166484,no-deduplication-method-applied,K02000001,index-100-average-february-2020,
2019-04-18,accounting-/-finance,98.78284672807132,no-deduplication-method-applied,K02000001,index-100-average-february-2020,
2019-04-25,accounting-/-finance,96.90020460465216,no-deduplication-method-applied,K02000001,index-100-average-february-2020,
2019-05-02,accounting-/-finance,91.31652269854682,no-deduplication-method-applied,K02000001,index-100-average-february-2020,
2019-05-09,accounting-/-finance,98.95323421995349,no-deduplication-method-applied,K02000001,index-100-average-february-2020,
2019-05-16,accounting-/-finance,105.13746220400412,no-deduplication-method-applied,K02000001,index-100-average-february-2020,
2019-05-23,accounting-/-finance,96.13346089118244,no-deduplication-method-applied,K02000001,index-100-average-february-2020,
2019-05-30,accounting-/-finance,95.47006696787078,no-deduplication-method-applied,K02000001,index-100-average-february-2020,
2019-06-06,accounting-/-finance,99.47975950224507,no-deduplication-method-applied,K02000001,index-100-average-february-2020,
2019-06-13,accounting-/-finance,98.68089355669925,no-deduplication-method-applied,K02000001,index-100-average-february-2020,
2019-06-20,accounting-/-finance,100.93643289595887,no-deduplication-method-applied,K02000001,index-100-average-february-2020,
2019-06-27,accounting-/-finance,91.1782574387408,no-deduplication-method-applied,K02000001,index-100-average-february-2020,
2019-07-04,accounting-/-finance,92.17963310824494,no-deduplication-method-applied,K02000001,index-100-average-february-2020,
2019-07-11,accounting-/-finance,99.3736164745152,no-deduplication-method-applied,K02000001,index-100-average-february-2020,
2019-07-18,accounting-/-finance,98.56637081625384,no-deduplication-method-applied,K02000001,index-100-average-february-2020,
2019-07-25,accounting-/-finance,84.13790213892167,no-deduplication-method-applied,K02000001,index-100-average-february-2020,
2019-08-01,accounting-/-finance,78.20087567997878,no-deduplication-method-applied,K02000001,index-100-average-february-2020,
2019-08-08,accounting-/-finance,85.0750333442735,no-deduplication-method-applied,K02000001,index-100-average-february-2020,
2019-08-15,accounting-/-finance,85.63368085864123,no-deduplication-method-applied,K02000001,index-100-average-february-2020,
2019-08-22,accounting-/-finance,84.85576419488419,no-deduplication-method-applied,K02000001,index-100-average-february-2020,
2019-08-29,accounting-/-finance,80.43127588109188,no-deduplication-method-applied,K02000001,index-100-average-february-2020,
2019-09-05,accounting-/-finance,83.80830010544472,no-deduplication-method-applied,K02000001,index-100-average-february-2020,
2019-09-12,accounting-/-finance,86.25517621837531,no-deduplication-method-applied,K02000001,index-100-average-february-2020,
2019-09-19,accounting-/-finance,90.5777113607955,no-deduplication-method-applied,K02000001,index-100-average-february-2020,
2019-09-26,accounting-/-finance,92.7634197607592,no-deduplication-method-applied,K02000001,index-100-average-february-2020,
2019-10-03,accounting-/-finance,94.88628031535652,no-deduplication-method-applied,K02000001,index-100-average-february-2020,
2019-10-10,accounting-/-finance,96.9700355439481,no-deduplication-method-applied,K02000001,index-100-average-february-2020,
2019-10-17,accounting-/-finance,95.40442588493258,no-deduplication-method-applied,K02000001,index-100-average-february-2020,
2019-10-24,accounting-/-finance,97.11807713525556,no-deduplication-method-applied,K02000001,index-100-average-february-2020,
2019-10-31,accounting-/-finance,96.22982758741088,no-deduplication-method-applied,K02000001,index-100-average-february-2020,
