Uri Identifier,Label,Notation,Parent Uri Identifier,Sort Priority,Description
cars,Cars,Cars,,0,Cars
motorbikes,Motorbikes,Motorbikes,,1,Motorbikes
buses,Buses,Buses,,2,Buses
trucks,Trucks,Trucks,,3,Trucks
vans,Vans,Vans,,4,Vans
pedestrians-cyclists,Pedestrians & cyclists,Pedestrians & cyclists,,5,Pedestrians & cyclists
