Week,Location,Value
2021-25,Manchester,70.89513257
2021-25,London: West End,75.337786
2021-25,London: Stations,71.68001485
2021-25,Regional Towns,91.76321856
2021-25,Scotland,62.48826197
2021-25,London: Airports,35.61361613
2021-25,London: City Worker,53.09217974
2021-25,Regional Stations,51.63527818
2021-26,Yorkshire,116.7665121
2021-26,London: Suburban,106.6148025
2021-26,Manchester,71.3161852
2021-26,London: West End,77.51142462
2021-26,London: Stations,72.00558321
2021-26,Regional Towns,96.23410426
2021-26,Scotland,60.3584344
2021-26,London: Airports,38.46062051
2021-26,London: City Worker,52.58875853
2021-26,Regional Stations,53.74375609
2021-27,Yorkshire,101.8774282
2021-27,London: Suburban,106.4691114
2021-27,Manchester,70.03719826
2021-27,London: West End,75.28262934
2021-27,London: Stations,71.92561905
2021-27,Regional Towns,97.91031457
2021-27,Scotland,58.1926435
2021-27,London: Airports,41.42503844
2021-27,London: City Worker,51.88204937
2021-27,Regional Stations,52.81892454
2021-28,Yorkshire,86.44692317
2021-28,London: Suburban,106.2159199
2021-28,Manchester,70.92679066
2021-28,London: West End,75.64930462
2021-28,London: Stations,71.25734715
2021-28,Regional Towns,97.74522198
2021-28,Scotland,61.72903638
2021-28,London: Airports,45.62668799
2021-28,London: City Worker,50.96943483
2021-28,Regional Stations,53.97151312
2021-29,Yorkshire,112.866274
2021-29,London: Suburban,102.092719
2021-29,Manchester,77.27107242
2021-29,London: West End,72.86428159
2021-29,London: Stations,68.68707062
2021-29,Regional Towns,85.99985127
2021-29,Scotland,65.15753931
2021-29,London: Airports,52.34559637
2021-29,London: City Worker,51.95708269
2021-29,Regional Stations,49.50609509
2021-30,Yorkshire,118.1000125
2021-30,London: Suburban,101.5523887
2021-30,Manchester,75.20063316
2021-30,London: West End,77.40499556
2021-30,London: Stations,72.43396263
2021-30,Regional Towns,86.75987209
2021-30,Scotland,68.04259655
2021-30,London: Airports,61.83963448
2021-30,London: City Worker,54.80136892
2021-30,Regional Stations,43.04952853
2021-31,Yorkshire,124.8176463
2021-31,London: Suburban,103.2101559
2021-31,Manchester,77.68579343
2021-31,London: West End,78.44986473
2021-31,London: Stations,75.60754019
2021-31,Regional Towns,89.62891351
2021-31,Scotland,71.75880602
2021-31,London: Airports,66.9147531
2021-31,London: City Worker,54.88948945
2021-31,Regional Stations,55.18966811
2021-32,Yorkshire,126.7828049
2021-32,London: Suburban,101.5891651
2021-32,Manchester,76.71072418
2021-32,London: West End,75.13735757
2021-32,London: Stations,78.0764336
2021-32,Regional Towns,96.30995761
2021-32,Scotland,71.66689976
2021-32,London: Airports,68.56622413
2021-32,London: City Worker,51.04708559
2021-32,Regional Stations,59.04773408
2021-33,Yorkshire,123.1933826
2021-33,London: Suburban,103.2327876
2021-33,Manchester,78.09734863
2021-33,London: West End,73.76698641
2021-33,London: Stations,78.24992726
2021-33,Regional Towns,96.57916264
2021-33,Scotland,77.58486344
2021-33,London: Airports,70.54689204
2021-33,London: City Worker,53.58164127
2021-33,Regional Stations,64.98667104
2021-34,Yorkshire,124.7073568
2021-34,London: Suburban,109.4508292
2021-34,Manchester,81.82034032
2021-34,London: West End,77.77089398
2021-34,London: Stations,80.39325231
2021-34,Regional Towns,100.2305347
2021-34,Scotland,77.43301832
2021-34,London: Airports,70.51068038
2021-34,London: City Worker,57.02532156
2021-34,Regional Stations,61.80152356
2021-35,Yorkshire,127.0033839
2021-35,London: Suburban,107.9755295
2021-35,Manchester,75.40957657
2021-35,London: West End,78.66116913
2021-35,London: Stations,79.5607683
2021-35,Regional Towns,101.5051684
2021-35,Scotland,78.60782002
2021-35,London: Airports,71.25850597
2021-35,London: City Worker,52.0548005
2021-35,Regional Stations,67.57826991
2021-36,Yorkshire,128.6477002
2021-36,London: Suburban,122.1641501
2021-36,Manchester,91.67867036
2021-36,London: West End,91.73640553
2021-36,London: Stations,81.00297902
2021-36,Regional Towns,108.2471927
2021-36,Scotland,77.83261074
2021-36,London: Airports,71.74955798
2021-36,London: City Worker,70.58890249
2021-36,Regional Stations,67.00887735
2021-37,Yorkshire,134.0218072
2021-37,London: Suburban,121.8388203
2021-37,Manchester,100.3371587
2021-37,London: West End,94.6519401
2021-37,London: Stations,86.4119832
2021-37,Regional Towns,109.4846434
2021-37,Scotland,85.76052427
2021-37,London: Airports,72.71575084
2021-37,London: City Worker,71.69608016
2021-37,Regional Stations,74.48689966
2021-38,Yorkshire,142.2935205
2021-38,London: Suburban,125.1911312
2021-38,Manchester,109.0937871
2021-38,London: West End,97.82772088
2021-38,London: Stations,85.30819222
2021-38,Regional Towns,112.6288391
2021-38,Scotland,89.17703942
2021-38,London: Airports,74.55102346
2021-38,London: City Worker,77.21451895
2021-38,Regional Stations,78.91780905
2021-39,Yorkshire,141.1705728
2021-39,London: Suburban,126.6183387
2021-39,Manchester,105.8203403
2021-39,London: West End,99.65332872
2021-39,London: Stations,92.13870212
2021-39,Regional Towns,110.3591879
2021-39,Scotland,88.89732473
2021-39,London: Airports,72.52097601
2021-39,London: City Worker,79.75343703
2021-39,Regional Stations,82.18577726
2021-40,Yorkshire,142.0428625
2021-40,London: Suburban,127.9012695
2021-40,Manchester,112.8611001
2021-40,London: West End,101.7337448
2021-40,London: Stations,89.61697525
2021-40,Regional Towns,112.4801071
2021-40,Scotland,93.29683723
2021-40,London: Airports,74.70684332
2021-40,London: City Worker,82.28799271
2021-40,Regional Stations,88.17992805
2021-41,Yorkshire,149.7230229
2021-41,London: Suburban,132.826479
2021-41,Manchester,113.0763751
2021-41,London: West End,106.9969334
2021-41,London: Stations,91.54468265
2021-41,Regional Towns,118.0114524
2021-41,Scotland,89.884318
2021-41,London: Airports,75.86067839
2021-41,London: City Worker,83.85758502
2021-41,Regional Stations,89.80183413
2021-42,Yorkshire,148.5900489
2021-42,London: Suburban,130.6368683
2021-42,Manchester,107.2576177
2021-42,London: West End,104.2041418
2021-42,London: Stations,93.286045
2021-42,Regional Towns,115.5038299
2021-42,Scotland,94.51559409
2021-42,London: Airports,83.36307536
2021-42,London: City Worker,83.59758585
2021-42,Regional Stations,89.19793293
2021-43,Yorkshire,159.4184735
2021-43,London: Suburban,128.1884084
2021-43,Manchester,112.7661258
2021-43,London: West End,105.7524126
2021-43,London: Stations,93.41241693
2021-43,Regional Towns,112.7329516
2021-43,Scotland,96.85320973
2021-43,London: Airports,81.56017376
2021-43,London: City Worker,80.40168999
2021-43,Regional Stations,90.00198425
2021-44,Yorkshire,151.106655
2021-44,London: Suburban,129.3836416
2021-44,Manchester,110.2398101
2021-44,London: West End,104.8194105
2021-44,London: Stations,95.13593015
2021-44,Regional Towns,115.0353239
2021-44,Scotland,92.7134323
2021-44,London: Airports,77.08199883
2021-44,London: City Worker,85.91751134
2021-44,Regional Stations,93.07325322
2021-45,Yorkshire,159.8195263
2021-45,London: Suburban,133.5025991
2021-45,Manchester,116.0743965
2021-45,London: West End,107.9089604
2021-45,London: Stations,96.56600345
2021-45,Regional Towns,120.8239756
2021-45,Scotland,91.73043496
2021-45,London: Airports,77.99222821
2021-45,London: City Worker,88.00971943
2021-45,Regional Stations,91.95862414
2021-46,Yorkshire,160.721895
2021-46,London: Suburban,135.431946
2021-46,Manchester,118.5500594
2021-46,London: West End,112.8482007
2021-46,London: Stations,97.4434673
2021-46,Regional Towns,119.0064698
2021-46,Scotland,97.0809774
2021-46,London: Airports,78.44706857
2021-46,London: City Worker,86.99502468
2021-46,Regional Stations,93.20783691
2021-47,Yorkshire,167.9709237
2021-47,London: Suburban,137.3994837
2021-47,Manchester,122.4914919
2021-47,London: West End,115.9431886
2021-47,London: Stations,98.57153312
2021-47,Regional Towns,120.4595821
2021-47,Scotland,102.9190226
2021-47,London: Airports,77.7360033
2021-47,London: City Worker,87.81777374
2021-47,Regional Stations,92.26230017
2021-48,Yorkshire,147.1763379
2021-48,London: Suburban,134.717635
2021-48,Manchester,114.7036011
2021-48,London: West End,109.9303356
2021-48,London: Stations,95.67640218
2021-48,Regional Towns,123.9592474
2021-48,Scotland,102.2956584
2021-48,London: Airports,75.68565538
2021-48,London: City Worker,84.55644185
2021-48,Regional Stations,92.44519597
2021-49,Yorkshire,151.6681288
2021-49,London: Suburban,129.5703526
2021-49,Manchester,105.1365255
2021-49,London: West End,106.5409198
2021-49,London: Stations,95.87916844
2021-49,Regional Towns,120.580055
2021-49,Scotland,96.48158878
2021-49,London: Airports,70.88541617
2021-49,London: City Worker,80.4994078
2021-49,Regional Stations,88.41803767
2021-50,Yorkshire,147.557338
2021-50,London: Suburban,127.8390325
2021-50,Manchester,86.59438069
2021-50,London: West End,93.23029654
2021-50,London: Stations,85.02046404
2021-50,Regional Towns,122.9672046
2021-50,Scotland,83.31501868
2021-50,London: Airports,84.1087063
2021-50,London: City Worker,51.91694859
2021-50,Regional Stations,76.45044128
2021-51,Yorkshire,143.4866525
2021-51,London: Suburban,110.7945826
2021-51,Manchester,55.11990503
2021-51,London: West End,71.00837643
2021-51,London: Stations,71.87135766
2021-51,Regional Towns,121.8145311
2021-51,Scotland,67.03562366
2021-51,London: Airports,98.18242171
2021-51,London: City Worker,36.487132
2021-51,Regional Stations,63.10940102
2021-52,Yorkshire,87.75034465
2021-52,London: Suburban,59.29912656
2021-52,Manchester,13.67313019
2021-52,London: West End,48.5534
2021-52,London: Stations,35.34130238
2021-52,Regional Towns,67.70432067
2021-52,Scotland,32.90243951
2021-52,London: Airports,65.75872337
2021-52,London: City Worker,12.58553035
2021-52,Regional Stations,37.30038908
2022-1,Yorkshire,98.65897982
2022-1,London: Suburban,87.83761802
2022-1,Manchester,33.33597151
2022-1,London: West End,60.69097315
2022-1,London: Stations,51.2063343
2022-1,Regional Towns,78.99159664
2022-1,Scotland,37.19406206
2022-1,London: Airports,55.97828398
2022-1,London: City Worker,29.32406759
2022-1,Regional Stations,47.64953025
2022-2,Yorkshire,110.9612733
2022-2,London: Suburban,115.4128505
2022-2,Manchester,75.53304313
2022-2,London: West End,78.54697153
2022-2,London: Stations,71.12169367
2022-2,Regional Towns,98.06648323
2022-2,Scotland,65.65702983
2022-2,London: Airports,53.73480722
2022-2,London: City Worker,51.48419829
2022-2,Regional Stations,55.28284144
2022-3,Yorkshire,120.4461712
2022-3,London: Suburban,121.6139185
2022-3,Manchester,85.52433716
2022-3,London: West End,88.40758443
2022-3,London: Stations,78.83823501
2022-3,Regional Towns,106.6631963
2022-3,Scotland,75.36312961
2022-3,London: Airports,54.29883121
2022-3,London: City Worker,57.68578926
2022-3,Regional Stations,63.16116398
2022-4,Yorkshire,126.0809625
2022-4,London: Suburban,121.5927013
2022-4,Manchester,95.92402058
2022-4,London: West End,93.22718913
2022-4,London: Stations,84.53710926
2022-4,Regional Towns,109.8192905
2022-4,Scotland,80.38600627
2022-4,London: Airports,58.06594088
2022-4,London: City Worker,67.68267014
2022-4,Regional Stations,69.87654534
2022-5,Yorkshire,126.0909888
2022-5,London: Suburban,126.4867923
2022-5,Manchester,100.0364068
2022-5,London: West End,98.62555035
2022-5,London: Stations,88.45749494
2022-5,Regional Towns,114.4195731
2022-5,Scotland,84.23008531
2022-5,London: Airports,62.93256813
2022-5,London: City Worker,77.5914305
2022-5,Regional Stations,75.60152873
2022-6,Yorkshire,124.9981201
2022-6,London: Suburban,128.0582765
2022-6,Manchester,109.277404
2022-6,London: West End,100.43096
2022-6,London: Stations,92.64775966
2022-6,Regional Towns,113.4007585
2022-6,Scotland,88.01822141
2022-6,London: Airports,69.65367116
2022-6,London: City Worker,81.82034319
2022-6,Regional Stations,81.59222865
2022-7,Yorkshire,126.191252
2022-7,London: Suburban,117.4539411
2022-7,Manchester,108.6664028
2022-7,London: West End,96.93433832
2022-7,London: Stations,92.39287391
2022-7,Regional Towns,109.6512233
2022-7,Scotland,82.56378494
2022-7,London: Airports,82.36341416
2022-7,London: City Worker,77.42740417
2022-7,Regional Stations,82.91390957
2022-8,Yorkshire,118.019802
2022-8,London: Suburban,116.190813
2022-8,Manchester,100.647408
2022-8,London: West End,95.10173879
2022-8,London: Stations,85.31461791
2022-8,Regional Towns,100.5027144
2022-8,Scotland,85.82845498
2022-8,London: Airports,84.08785716
2022-8,London: City Worker,78.60438029
2022-8,Regional Stations,75.92936081
2022-9,Yorkshire,135.2951498
2022-9,London: Suburban,129.2549241
2022-9,Manchester,118.4709141
2022-9,London: West End,97.97376951
2022-9,London: Stations,95.25516242
2022-9,Regional Towns,109.9695099
2022-9,Scotland,98.26776688
2022-9,London: Airports,85.4386617
2022-9,London: City Worker,76.50519235
2022-9,Regional Stations,86.37512617
2022-10,Yorkshire,139.0048878
2022-10,London: Suburban,129.5901552
2022-10,Manchester,123.3557578
2022-10,London: West End,106.2977644
2022-10,London: Stations,97.98965107
2022-10,Regional Towns,106.0444709
2022-10,Scotland,104.1497672
2022-10,London: Airports,89.16681641
2022-10,London: City Worker,88.07515547
2022-10,Regional Stations,89.14962084
2022-11,Yorkshire,142.153152
2022-11,London: Suburban,127.5405778
2022-11,Manchester,120.9529086
2022-11,London: West End,104.6920064
2022-11,London: Stations,98.89495958
2022-11,Regional Towns,103.1992266
2022-11,Scotland,99.07094763
2022-11,London: Airports,92.71171817
2022-11,London: City Worker,85.82153849
2022-11,Regional Stations,89.17722775
2022-12,Yorkshire,150.1742073
2022-12,London: Suburban,133.075427
2022-12,Manchester,127.6390977
2022-12,London: West End,106.4453667
2022-12,London: Stations,97.13289222
2022-12,Regional Towns,108.369153
2022-12,Scotland,102.7871571
2022-12,London: Airports,95.80177958
2022-12,London: City Worker,86.61724065
2022-12,Regional Stations,86.88930491
2022-13,Yorkshire,130.2619376
2022-13,London: Suburban,124.2604052
2022-13,Manchester,122.6687772
2022-13,London: West End,103.1033391
2022-13,London: Stations,98.29737029
2022-13,Regional Towns,105.2234699
2022-13,Scotland,100.3336597
2022-13,London: Airports,104.8859676
2022-13,London: City Worker,86.10945703
2022-13,Regional Stations,87.75892264
2022-14,Yorkshire,124.587041
2022-14,London: Suburban,116.6420312
2022-14,Manchester,100.7202216
2022-14,London: West End,96.84422321
2022-14,London: Stations,96.22044405
2022-14,Regional Towns,99.59842344
2022-14,Scotland,93.3248087
2022-14,London: Airports,119.6136875
2022-14,London: City Worker,81.33262662
2022-14,Regional Stations,86.88585405
2022-15,Yorkshire,127.0835944
2022-15,London: Suburban,116.2219315
2022-15,Manchester,93.35021765
2022-15,London: West End,97.70109362
2022-15,London: Stations,93.0925603
2022-15,Regional Towns,101.4620361
2022-15,Scotland,92.13002737
2022-15,London: Airports,122.6933243
2022-15,London: City Worker,72.87741868
2022-15,Regional Stations,80.41893489
2022-16,Yorkshire,120.8973556
2022-16,London: Suburban,102.8565367
2022-16,Manchester,77.18242976
2022-16,London: West End,86.32173037
2022-16,London: Stations,84.52211598
2022-16,Regional Towns,85.00185915
2022-16,Scotland,88.3458872
2022-16,London: Airports,112.4262222
2022-16,London: City Worker,60.49168635
2022-16,Regional Stations,66.51195293
2022-17,Yorkshire,121.6092242
2022-17,London: Suburban,121.9632943
2022-17,Manchester,111.3098536
2022-17,London: West End,101.4035817
2022-17,London: Stations,100.4542607
2022-17,Regional Towns,100.7912546
2022-17,Scotland,100.7332521
2022-17,London: Airports,113.36169
2022-17,London: City Worker,88.47475151
2022-17,Regional Stations,85.71946201
2022-18,Yorkshire,124.9279358
2022-18,London: Suburban,114.4495916
2022-18,Manchester,96.73130194
2022-18,London: West End,95.65330542
2022-18,London: Stations,96.78090713
2022-18,Regional Towns,96.90191121
2022-18,Scotland,93.38075163
2022-18,London: Airports,116.9230516
2022-18,London: City Worker,74.68781559
2022-18,Regional Stations,81.27820003
2022-19,Yorkshire,126.1411204
2022-19,London: Suburban,123.8954701
2022-19,Manchester,117.5908192
2022-19,London: West End,102.0491477
2022-19,London: Stations,98.85212164
2022-19,Regional Towns,102.097122
2022-19,Scotland,99.43857266
2022-19,London: Airports,116.9976696
2022-19,London: City Worker,88.53233522
2022-19,Regional Stations,88.61128605
2022-20,Yorkshire,128.5273844
2022-20,London: Suburban,122.4173415
2022-20,Manchester,117.2235853
2022-20,London: West End,101.364739
2022-20,London: Stations,96.78804679
2022-20,Regional Towns,102.0093701
2022-20,Scotland,95.66642025
2022-20,London: Airports,125.1546197
2022-20,London: City Worker,87.12851419
2022-20,Regional Stations,87.06184811
2022-21,Yorkshire,125.1084096
2022-21,London: Suburban,122.3395452
2022-21,Manchester,112.1899486
2022-21,London: West End,101.5667211
2022-21,London: Stations,103.4207882
2022-21,Regional Towns,101.0412467
2022-21,Scotland,94.00011988
2022-21,London: Airports,133.2375005
2022-21,London: City Worker,87.92857875
2022-21,Regional Stations,91.67910416
2022-22,Yorkshire,129.3294899
2022-22,London: Suburban,112.1779412
2022-22,Manchester,81.30431342
2022-22,London: West End,94.36994195
2022-22,London: Stations,100.1736722
2022-22,Regional Towns,98.19379578
2022-22,Scotland,90.24395117
2022-22,London: Airports,139.9048347
2022-22,London: City Worker,63.49825395
2022-22,Regional Stations,83.14856832
2022-23,Yorkshire,119.7042236
2022-23,London: Suburban,108.9331306
2022-23,Manchester,86.28096557
2022-23,London: West End,90.09102791
2022-23,London: Stations,96.09906988
2022-23,Regional Towns,91.71820461
2022-23,Scotland,85.6006873
2022-23,London: Airports,132.5582576
2022-23,London: City Worker,73.68708053
2022-23,Regional Stations,81.82343654
2022-24,Yorkshire,122.5717508
2022-24,London: Suburban,123.3367517
2022-24,Manchester,102.1321725
2022-24,London: West End,100.6686774
2022-24,London: Stations,103.3136933
2022-24,Regional Towns,100.9094931
2022-24,Scotland,93.53259675
2022-24,London: Airports,130.6275178
2022-24,London: City Worker,87.73401561
2022-24,Regional Stations,93.32861715
2022-25,Yorkshire,123.2836195
2022-25,London: Suburban,120.0084869
2022-25,Manchester,96.66481994
2022-25,London: West End,83.44348481
2022-25,London: Stations,77.76300265
2022-25,Regional Towns,75.64623175
2022-25,Scotland,86.38388843
2022-25,London: Airports,137.6986669
2022-25,London: City Worker,62.08047323
2022-25,Regional Stations,61.08029298
