Date,Industry,Value,Category,Measure,Unit
2019-06,construction,100.0,jobs,100-equivalent-month-of-2019,index
2019-06,retail-trade,100.0,jobs,100-equivalent-month-of-2019,index
2019-06,accommodation-and-food-services,100.0,jobs,100-equivalent-month-of-2019,index
2019-06,information-media-and-telecommunications,100.0,jobs,100-equivalent-month-of-2019,index
2019-06,rental-hiring-and-real-estate-services,100.0,jobs,100-equivalent-month-of-2019,index
2019-06,professional-scientific-and-technical-services,100.0,jobs,100-equivalent-month-of-2019,index
2019-06,administrative-and-support-services,100.0,jobs,100-equivalent-month-of-2019,index
2019-06,other-services,100.0,jobs,100-equivalent-month-of-2019,index
2019-06,health-care-and-social-assistance,100.0,jobs,100-equivalent-month-of-2019,index
2019-07,manufacturing,100.0,jobs,100-equivalent-month-of-2019,index
2019-07,construction,100.0,jobs,100-equivalent-month-of-2019,index
2019-07,retail-trade,100.0,jobs,100-equivalent-month-of-2019,index
2019-07,accommodation-and-food-services,100.0,jobs,100-equivalent-month-of-2019,index
2019-07,information-media-and-telecommunications,100.0,jobs,100-equivalent-month-of-2019,index
2019-07,rental-hiring-and-real-estate-services,100.0,jobs,100-equivalent-month-of-2019,index
2019-07,professional-scientific-and-technical-services,100.0,jobs,100-equivalent-month-of-2019,index
2019-07,administrative-and-support-services,100.0,jobs,100-equivalent-month-of-2019,index
2019-07,other-services,100.0,jobs,100-equivalent-month-of-2019,index
2019-07,health-care-and-social-assistance,100.0,jobs,100-equivalent-month-of-2019,index
2019-08,manufacturing,100.0,jobs,100-equivalent-month-of-2019,index
2019-08,construction,100.0,jobs,100-equivalent-month-of-2019,index
2019-08,retail-trade,100.0,jobs,100-equivalent-month-of-2019,index
2019-08,accommodation-and-food-services,100.0,jobs,100-equivalent-month-of-2019,index
2019-08,information-media-and-telecommunications,100.0,jobs,100-equivalent-month-of-2019,index
2019-08,rental-hiring-and-real-estate-services,100.0,jobs,100-equivalent-month-of-2019,index
2019-08,professional-scientific-and-technical-services,100.0,jobs,100-equivalent-month-of-2019,index
2019-08,administrative-and-support-services,100.0,jobs,100-equivalent-month-of-2019,index
2019-08,other-services,100.0,jobs,100-equivalent-month-of-2019,index
2019-08,health-care-and-social-assistance,100.0,jobs,100-equivalent-month-of-2019,index
2019-09,manufacturing,100.0,jobs,100-equivalent-month-of-2019,index
2019-09,construction,100.0,jobs,100-equivalent-month-of-2019,index
2019-09,retail-trade,100.0,jobs,100-equivalent-month-of-2019,index
2019-09,accommodation-and-food-services,100.0,jobs,100-equivalent-month-of-2019,index
2019-09,information-media-and-telecommunications,100.0,jobs,100-equivalent-month-of-2019,index
2019-09,rental-hiring-and-real-estate-services,100.0,jobs,100-equivalent-month-of-2019,index
2019-09,professional-scientific-and-technical-services,100.0,jobs,100-equivalent-month-of-2019,index
2019-09,administrative-and-support-services,100.0,jobs,100-equivalent-month-of-2019,index
2019-09,other-services,100.0,jobs,100-equivalent-month-of-2019,index
2019-09,health-care-and-social-assistance,100.0,jobs,100-equivalent-month-of-2019,index
2019-10,manufacturing,100.0,jobs,100-equivalent-month-of-2019,index
2019-10,construction,100.0,jobs,100-equivalent-month-of-2019,index
2019-10,retail-trade,100.0,jobs,100-equivalent-month-of-2019,index
2019-10,accommodation-and-food-services,100.0,jobs,100-equivalent-month-of-2019,index
2019-10,information-media-and-telecommunications,100.0,jobs,100-equivalent-month-of-2019,index
2019-10,rental-hiring-and-real-estate-services,100.0,jobs,100-equivalent-month-of-2019,index
2019-10,professional-scientific-and-technical-services,100.0,jobs,100-equivalent-month-of-2019,index
2019-10,administrative-and-support-services,100.0,jobs,100-equivalent-month-of-2019,index
2019-10,other-services,100.0,jobs,100-equivalent-month-of-2019,index
2019-10,health-care-and-social-assistance,100.0,jobs,100-equivalent-month-of-2019,index
2019-11,manufacturing,100.0,jobs,100-equivalent-month-of-2019,index
2019-11,construction,100.0,jobs,100-equivalent-month-of-2019,index
2019-11,retail-trade,100.0,jobs,100-equivalent-month-of-2019,index
2019-11,accommodation-and-food-services,100.0,jobs,100-equivalent-month-of-2019,index
2019-11,information-media-and-telecommunications,100.0,jobs,100-equivalent-month-of-2019,index
2019-11,rental-hiring-and-real-estate-services,100.0,jobs,100-equivalent-month-of-2019,index
2019-11,professional-scientific-and-technical-services,100.0,jobs,100-equivalent-month-of-2019,index
2019-11,administrative-and-support-services,100.0,jobs,100-equivalent-month-of-2019,index
2019-11,other-services,100.0,jobs,100-equivalent-month-of-2019,index
2019-11,health-care-and-social-assistance,100.0,jobs,100-equivalent-month-of-2019,index
2019-12,manufacturing,100.0,jobs,100-equivalent-month-of-2019,index
2019-12,construction,100.0,jobs,100-equivalent-month-of-2019,index
2019-12,retail-trade,100.0,jobs,100-equivalent-month-of-2019,index
2019-12,accommodation-and-food-services,100.0,jobs,100-equivalent-month-of-2019,index
2019-12,information-media-and-telecommunications,100.0,jobs,100-equivalent-month-of-2019,index
2019-12,rental-hiring-and-real-estate-services,100.0,jobs,100-equivalent-month-of-2019,index
2019-12,professional-scientific-and-technical-services,100.0,jobs,100-equivalent-month-of-2019,index
2019-12,administrative-and-support-services,100.0,jobs,100-equivalent-month-of-2019,index
2019-12,other-services,100.0,jobs,100-equivalent-month-of-2019,index
2019-12,health-care-and-social-assistance,100.0,jobs,100-equivalent-month-of-2019,index
2020-01,manufacturing,107.4,jobs,100-equivalent-month-of-2019,index
2020-01,construction,99.5,jobs,100-equivalent-month-of-2019,index
2020-01,retail-trade,100.2,jobs,100-equivalent-month-of-2019,index
2020-01,accommodation-and-food-services,98.1,jobs,100-equivalent-month-of-2019,index
2020-01,information-media-and-telecommunications,110.9,jobs,100-equivalent-month-of-2019,index
2020-01,rental-hiring-and-real-estate-services,101.2,jobs,100-equivalent-month-of-2019,index
2020-01,professional-scientific-and-technical-services,105.0,jobs,100-equivalent-month-of-2019,index
2020-01,administrative-and-support-services,103.7,jobs,100-equivalent-month-of-2019,index
2020-01,other-services,101.9,jobs,100-equivalent-month-of-2019,index
2020-01,health-care-and-social-assistance,109.7,jobs,100-equivalent-month-of-2019,index
2020-02,manufacturing,105.6,jobs,100-equivalent-month-of-2019,index
2020-02,construction,97.2,jobs,100-equivalent-month-of-2019,index
2020-02,retail-trade,99.4,jobs,100-equivalent-month-of-2019,index
2020-02,accommodation-and-food-services,98.2,jobs,100-equivalent-month-of-2019,index
2020-02,information-media-and-telecommunications,110.4,jobs,100-equivalent-month-of-2019,index
2020-02,rental-hiring-and-real-estate-services,101.1,jobs,100-equivalent-month-of-2019,index
2020-02,professional-scientific-and-technical-services,104.6,jobs,100-equivalent-month-of-2019,index
2020-02,administrative-and-support-services,101.0,jobs,100-equivalent-month-of-2019,index
2020-02,other-services,101.2,jobs,100-equivalent-month-of-2019,index
2020-02,health-care-and-social-assistance,110.7,jobs,100-equivalent-month-of-2019,index
2020-03,manufacturing,99.8,jobs,100-equivalent-month-of-2019,index
2020-03,construction,97.4,jobs,100-equivalent-month-of-2019,index
2020-03,retail-trade,98.9,jobs,100-equivalent-month-of-2019,index
2020-03,accommodation-and-food-services,87.1,jobs,100-equivalent-month-of-2019,index
2020-03,information-media-and-telecommunications,110.7,jobs,100-equivalent-month-of-2019,index
2020-03,rental-hiring-and-real-estate-services,94.8,jobs,100-equivalent-month-of-2019,index
2020-03,professional-scientific-and-technical-services,102.1,jobs,100-equivalent-month-of-2019,index
2020-03,administrative-and-support-services,95.9,jobs,100-equivalent-month-of-2019,index
2020-03,other-services,93.0,jobs,100-equivalent-month-of-2019,index
2020-03,health-care-and-social-assistance,101.0,jobs,100-equivalent-month-of-2019,index
2020-04,manufacturing,82.3,jobs,100-equivalent-month-of-2019,index
2020-04,construction,73.8,jobs,100-equivalent-month-of-2019,index
2020-04,retail-trade,76.9,jobs,100-equivalent-month-of-2019,index
2020-04,accommodation-and-food-services,44.5,jobs,100-equivalent-month-of-2019,index
2020-04,information-media-and-telecommunications,100.7,jobs,100-equivalent-month-of-2019,index
2020-04,rental-hiring-and-real-estate-services,66.4,jobs,100-equivalent-month-of-2019,index
2020-04,professional-scientific-and-technical-services,90.4,jobs,100-equivalent-month-of-2019,index
2020-04,administrative-and-support-services,66.4,jobs,100-equivalent-month-of-2019,index
2020-04,other-services,75.4,jobs,100-equivalent-month-of-2019,index
2020-04,health-care-and-social-assistance,80.0,jobs,100-equivalent-month-of-2019,index
2020-05,manufacturing,79.0,jobs,100-equivalent-month-of-2019,index
2020-05,construction,73.9,jobs,100-equivalent-month-of-2019,index
2020-05,retail-trade,78.1,jobs,100-equivalent-month-of-2019,index
2020-05,accommodation-and-food-services,36.9,jobs,100-equivalent-month-of-2019,index
2020-05,information-media-and-telecommunications,97.8,jobs,100-equivalent-month-of-2019,index
2020-05,rental-hiring-and-real-estate-services,62.6,jobs,100-equivalent-month-of-2019,index
2020-05,professional-scientific-and-technical-services,88.0,jobs,100-equivalent-month-of-2019,index
2020-05,administrative-and-support-services,74.5,jobs,100-equivalent-month-of-2019,index
2020-05,other-services,69.7,jobs,100-equivalent-month-of-2019,index
2020-05,health-care-and-social-assistance,72.3,jobs,100-equivalent-month-of-2019,index
2020-06,manufacturing,83.3,jobs,100-equivalent-month-of-2019,index
2020-06,construction,82.0,jobs,100-equivalent-month-of-2019,index
2020-06,retail-trade,83.4,jobs,100-equivalent-month-of-2019,index
2020-06,accommodation-and-food-services,49.3,jobs,100-equivalent-month-of-2019,index
2020-06,information-media-and-telecommunications,96.2,jobs,100-equivalent-month-of-2019,index
2020-06,rental-hiring-and-real-estate-services,74.9,jobs,100-equivalent-month-of-2019,index
2020-06,professional-scientific-and-technical-services,88.5,jobs,100-equivalent-month-of-2019,index
2020-06,administrative-and-support-services,76.7,jobs,100-equivalent-month-of-2019,index
2020-06,other-services,79.4,jobs,100-equivalent-month-of-2019,index
2020-06,health-care-and-social-assistance,81.9,jobs,100-equivalent-month-of-2019,index
2020-07,manufacturing,91.3,jobs,100-equivalent-month-of-2019,index
2020-07,construction,92.3,jobs,100-equivalent-month-of-2019,index
2020-07,retail-trade,92.7,jobs,100-equivalent-month-of-2019,index
2020-07,accommodation-and-food-services,69.9,jobs,100-equivalent-month-of-2019,index
2020-07,information-media-and-telecommunications,106.7,jobs,100-equivalent-month-of-2019,index
2020-07,rental-hiring-and-real-estate-services,83.8,jobs,100-equivalent-month-of-2019,index
2020-07,professional-scientific-and-technical-services,95.9,jobs,100-equivalent-month-of-2019,index
2020-07,administrative-and-support-services,91.6,jobs,100-equivalent-month-of-2019,index
2020-07,other-services,89.9,jobs,100-equivalent-month-of-2019,index
2020-07,health-care-and-social-assistance,92.0,jobs,100-equivalent-month-of-2019,index
2020-08,manufacturing,92.0,jobs,100-equivalent-month-of-2019,index
2020-08,construction,92.4,jobs,100-equivalent-month-of-2019,index
2020-08,retail-trade,93.4,jobs,100-equivalent-month-of-2019,index
2020-08,accommodation-and-food-services,74.5,jobs,100-equivalent-month-of-2019,index
2020-08,information-media-and-telecommunications,105.9,jobs,100-equivalent-month-of-2019,index
2020-08,rental-hiring-and-real-estate-services,87.2,jobs,100-equivalent-month-of-2019,index
2020-08,professional-scientific-and-technical-services,96.7,jobs,100-equivalent-month-of-2019,index
