Uri Identifier,Label,Notation,Parent Uri Identifier,Sort Priority,Description
a,A,a,,0,
agriculture-forestry-and-fishing,"Agriculture, forestry and fishing",agriculture-forestry-and-fishing,,1,
c,C,c,,2,
construction,Construction,construction,,3,
d,D,d,,4,
f,F,f,,5,
g,G,g,,6,
h,H,h,,7,
i,I,i,,8,
j,J,j,,9,
l,L,l,,10,
m,M,m,,11,
n,N,n,,12,
p,P,p,,13,
production,Production,production,,14,
q,Q,q,,15,
r,R,r,,16,
s,S,s,,17,
services,Services,services,,18,
total,Total,total,,19,
