Uri Identifier,Label,Notation,Parent Uri Identifier,Sort Priority,Description,Original Concept URI
2019-01,2019-01,2019-01,,0,,http://reference.data.gov.uk/id/month/2019-01
2019-02,2019-02,2019-02,,1,,http://reference.data.gov.uk/id/month/2019-02
2019-03,2019-03,2019-03,,2,,http://reference.data.gov.uk/id/month/2019-03
2019-04,2019-04,2019-04,,3,,http://reference.data.gov.uk/id/month/2019-04
2019-05,2019-05,2019-05,,4,,http://reference.data.gov.uk/id/month/2019-05
2019-06,2019-06,2019-06,,5,,http://reference.data.gov.uk/id/month/2019-06
2019-07,2019-07,2019-07,,6,,http://reference.data.gov.uk/id/month/2019-07
2019-08,2019-08,2019-08,,7,,http://reference.data.gov.uk/id/month/2019-08
2019-09,2019-09,2019-09,,8,,http://reference.data.gov.uk/id/month/2019-09
2019-10,2019-10,2019-10,,9,,http://reference.data.gov.uk/id/month/2019-10
2019-11,2019-11,2019-11,,10,,http://reference.data.gov.uk/id/month/2019-11
2019-12,2019-12,2019-12,,11,,http://reference.data.gov.uk/id/month/2019-12
2020-01,2020-01,2020-01,,12,,http://reference.data.gov.uk/id/month/2020-01
2020-02,2020-02,2020-02,,13,,http://reference.data.gov.uk/id/month/2020-02
2020-03,2020-03,2020-03,,14,,http://reference.data.gov.uk/id/month/2020-03
2020-04,2020-04,2020-04,,15,,http://reference.data.gov.uk/id/month/2020-04
2020-05,2020-05,2020-05,,16,,http://reference.data.gov.uk/id/month/2020-05
2020-06,2020-06,2020-06,,17,,http://reference.data.gov.uk/id/month/2020-06
2020-07,2020-07,2020-07,,18,,http://reference.data.gov.uk/id/month/2020-07
2020-08,2020-08,2020-08,,19,,http://reference.data.gov.uk/id/month/2020-08
2020-09,2020-09,2020-09,,20,,http://reference.data.gov.uk/id/month/2020-09
2020-10,2020-10,2020-10,,21,,http://reference.data.gov.uk/id/month/2020-10
2020-11,2020-11,2020-11,,22,,http://reference.data.gov.uk/id/month/2020-11
2020-12,2020-12,2020-12,,23,,http://reference.data.gov.uk/id/month/2020-12
2021-01,2021-01,2021-01,,24,,http://reference.data.gov.uk/id/month/2021-01
2021-02,2021-02,2021-02,,25,,http://reference.data.gov.uk/id/month/2021-02
2021-03,2021-03,2021-03,,26,,http://reference.data.gov.uk/id/month/2021-03
2021-04,2021-04,2021-04,,27,,http://reference.data.gov.uk/id/month/2021-04
2021-05,2021-05,2021-05,,28,,http://reference.data.gov.uk/id/month/2021-05
2021-06,2021-06,2021-06,,29,,http://reference.data.gov.uk/id/month/2021-06
2021-07,2021-07,2021-07,,30,,http://reference.data.gov.uk/id/month/2021-07
2021-08,2021-08,2021-08,,31,,http://reference.data.gov.uk/id/month/2021-08
2021-09,2021-09,2021-09,,32,,http://reference.data.gov.uk/id/month/2021-09
2021-10,2021-10,2021-10,,33,,http://reference.data.gov.uk/id/month/2021-10
2021-11,2021-11,2021-11,,34,,http://reference.data.gov.uk/id/month/2021-11
2021-12,2021-12,2021-12,,35,,http://reference.data.gov.uk/id/month/2021-12
2022-01,2022-01,2022-01,,36,,http://reference.data.gov.uk/id/month/2022-01
2022-02,2022-02,2022-02,,37,,http://reference.data.gov.uk/id/month/2022-02
2022-03,2022-03,2022-03,,38,,http://reference.data.gov.uk/id/month/2022-03
2022-04,2022-04,2022-04,,39,,http://reference.data.gov.uk/id/month/2022-04
2022-05,2022-05,2022-05,,40,,http://reference.data.gov.uk/id/month/2022-05
2022-06,2022-06,2022-06,,41,,http://reference.data.gov.uk/id/month/2022-06
2022-07,2022-07,2022-07,,42,,http://reference.data.gov.uk/id/month/2022-07
2022-08,2022-08,2022-08,,43,,http://reference.data.gov.uk/id/month/2022-08
2022-09,2022-09,2022-09,,44,,http://reference.data.gov.uk/id/month/2022-09
2022-10,2022-10,2022-10,,45,,http://reference.data.gov.uk/id/month/2022-10
2022-11,2022-11,2022-11,,46,,http://reference.data.gov.uk/id/month/2022-11
